metro_id,metropolitan_area
700,"Albuquerque, NM"
701,"Denver-Aurora-Lakewood, CO"
702,"Austin-Round Rock-Georgetown, TX"
703,"Baltimore-Colombia-Towson, MD"
704,"Columbus, OH"
705,"Durham-Chapel Hill, NC"
706,"Urban Honolulu, HI"
707,"Knoxville, TN"
708,"Lousville/Jefferson County, KY-IN"
709,"New York-Newark-Jersey City, NY-NJ-PA"
710,"San Jose-Sunnyvale-Santa Clara, CA"
711,"Seattle-Tacoma-Bellevue, WA"
712,"Sioux Falls, SD"
713,"Tampa-St. Petersburg-Clearwater, FL"
714,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
